,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,left,right,p_w1,p_w2,p_phrase,compatibility_score,leftA,rightA,p_w1A,p_w2A,compatibility_scoreA
257,2.0,33.0,2.0,S,S,P,P_S-S,Аргумент против обвинения были сокрушительными для адвоката пострадавшей стороны.,Аргумент против обвинения,были сокрушительными для адвоката пострадавшей стороны.,-32.5625,-57.8125,-81.6875,8.6875,Аргумент против обвинения были,сокрушительными для адвоката пострадавшей стороны.,-44.53125,-56.21875,19.0625
258,3.0,33.0,2.0,S,P,S,S_S-P,Аргумент против обвинений был сокрушительным для адвоката пострадавшей стороны.,Аргумент против обвинений,был сокрушительным для адвоката пострадавшей стороны.,-34.8125,-56.28125,-80.625,10.46875,Аргумент против обвинений был,сокрушительным для адвоката пострадавшей стороны.,-41.6875,-54.1875,15.25
259,4.0,33.0,2.0,S,P,P,P_S-P,Аргумент против обвинений были сокрушительными для адвоката пострадавшей стороны.,Аргумент против обвинений,были сокрушительными для адвоката пострадавшей стороны.,-34.8125,-57.8125,-84.625,8.0,Аргумент против обвинений были,сокрушительными для адвоката пострадавшей стороны.,-46.09375,-56.21875,17.6875
260,5.0,33.0,2.0,P,S,S,S_P-S,Аргументы против обвинения был сокрушительным для адвоката пострадавшей стороны.,Аргументы против обвинения,был сокрушительным для адвоката пострадавшей стороны.,-36.59375,-56.28125,-89.25,3.625,Аргументы против обвинения был,сокрушительным для адвоката пострадавшей стороны.,-48.4375,-54.1875,13.375
261,6.0,33.0,2.0,P,S,P,P_P-S,Аргументы против обвинения были сокрушительными для адвоката пострадавшей стороны.,Аргументы против обвинения,были сокрушительными для адвоката пострадавшей стороны.,-36.59375,-57.8125,-80.375,14.03125,Аргументы против обвинения были,сокрушительными для адвоката пострадавшей стороны.,-42.96875,-56.21875,18.8125
262,7.0,33.0,2.0,P,P,S,S_P-P,Аргументы против обвинений был сокрушительным для адвоката пострадавшей стороны.,Аргументы против обвинений,был сокрушительным для адвоката пострадавшей стороны.,-37.625,-56.28125,-91.0,2.90625,Аргументы против обвинений был,сокрушительным для адвоката пострадавшей стороны.,-49.40625,-54.1875,12.59375
263,8.0,33.0,2.0,P,P,P,P_P-P,Аргументы против обвинений были сокрушительными для адвоката пострадавшей стороны.,Аргументы против обвинений,были сокрушительными для адвоката пострадавшей стороны.,-37.625,-57.8125,-82.3125,13.125,Аргументы против обвинений были,сокрушительными для адвоката пострадавшей стороны.,-43.9375,-56.21875,17.84375
264,1.0,34.0,2.0,S,S,P,P_S-S,Видеозапись с лекции  были содержательными для пропустивших занятия студентов.,Видеозапись с лекции, были содержательными для пропустивших занятия студентов.,-29.625,-71.5625,-97.5625,3.625,Видеозапись с лекции ,были содержательными для пропустивших занятия студентов.,-33.75,-60.90625,-2.90625
265,2.0,34.0,2.0,S,P,S,S_S-P,Видеозапись с лекций была содержательной для пропустивших занятия студентов.,Видеозапись с лекций,была содержательной для пропустивших занятия студентов.,-31.046875,-61.03125,-81.875,10.203125,Видеозапись с лекций была,содержательной для пропустивших занятия студентов.,-40.96875,-56.0625,15.15625
266,3.0,34.0,2.0,S,P,P,P_S-P,Видеозапись с лекций были содержательными для пропустивших занятия студентов.,Видеозапись с лекций,были содержательными для пропустивших занятия студентов.,-31.046875,-60.90625,-86.4375,5.515625,Видеозапись с лекций были,содержательными для пропустивших занятия студентов.,-45.09375,-56.78125,15.4375
267,4.0,34.0,2.0,P,S,S,S_P-S,Видеозаписи с лекции была содержательной для пропустивших занятия студентов.,Видеозаписи с лекции,была содержательной для пропустивших занятия студентов.,-31.71875,-61.03125,-92.75,0.0,Видеозаписи с лекции была,содержательной для пропустивших занятия студентов.,-45.28125,-56.0625,8.59375
268,5.0,34.0,2.0,P,S,P,P_P-S,Видеозаписи с лекции были содержательными для пропустивших занятия студентов.,Видеозаписи с лекции,были содержательными для пропустивших занятия студентов.,-31.71875,-60.90625,-86.6875,5.9375,Видеозаписи с лекции были,содержательными для пропустивших занятия студентов.,-41.46875,-56.78125,11.5625
269,6.0,34.0,2.0,P,P,S,S_P-P,Видеозаписи с лекций была содержательной для пропустивших занятия студентов.,Видеозаписи с лекций,была содержательной для пропустивших занятия студентов.,-29.578125,-61.03125,-88.625,1.984375,Видеозаписи с лекций была,содержательной для пропустивших занятия студентов.,-45.8125,-56.0625,13.25
270,7.0,34.0,2.0,P,P,P,P_P-P,Видеозаписи с лекций были содержательными для пропустивших занятия студентов.,Видеозаписи с лекций,были содержательными для пропустивших занятия студентов.,-29.578125,-60.90625,-83.5,6.984375,Видеозаписи с лекций были,содержательными для пропустивших занятия студентов.,-41.90625,-56.78125,15.1875
271,8.0,34.0,2.0,S,S,S,S_S-S,Видеозапись с лекции  была содержательной для пропустивших занятия студентов.,Видеозапись с лекции, была содержательной для пропустивших занятия студентов.,-29.625,-71.0625,-96.3125,4.375,Видеозапись с лекции ,была содержательной для пропустивших занятия студентов.,-33.75,-61.03125,-1.53125
272,1.0,35.0,2.0,S,P,S,S_S-P,Вывод из поражений был верным из-за тщательного анализа ситуации.,Вывод из поражений,был верным из-за тщательного анализа ситуации.,-30.765625,-59.09375,-75.6875,14.171875,Вывод из поражений был,верным из-за тщательного анализа ситуации.,-37.21875,-54.1875,15.71875
273,2.0,35.0,2.0,S,P,P,P_S-P,Вывод из поражений были верными из-за тщательного анализа ситуации.,Вывод из поражений,были верными из-за тщательного анализа ситуации.,-30.765625,-56.03125,-79.875,6.921875,Вывод из поражений были,верными из-за тщательного анализа ситуации.,-41.53125,-54.59375,16.25
274,3.0,35.0,2.0,P,S,S,S_P-S,Выводы из поражения был верным из-за тщательного анализа ситуации.,Выводы из поражения,был верным из-за тщательного анализа ситуации.,-32.875,-59.09375,-83.25,8.71875,Выводы из поражения был,верным из-за тщательного анализа ситуации.,-45.34375,-54.1875,16.28125
275,4.0,35.0,2.0,P,S,P,P_P-S,Выводы из поражения были верными из-за тщательного анализа ситуации.,Выводы из поражения,были верными из-за тщательного анализа ситуации.,-32.875,-56.03125,-79.3125,9.59375,Выводы из поражения были,верными из-за тщательного анализа ситуации.,-39.78125,-54.59375,15.0625
276,5.0,35.0,2.0,P,P,S,S_P-P,Выводы из поражений был верным из-за тщательного анализа ситуации.,Выводы из поражений,был верным из-за тщательного анализа ситуации.,-32.0625,-59.09375,-83.6875,7.46875,Выводы из поражений был,верным из-за тщательного анализа ситуации.,-46.375,-54.1875,16.875
277,6.0,35.0,2.0,P,P,P,P_P-P,Выводы из поражений были верными из-за тщательного анализа ситуации.,Выводы из поражений,были верными из-за тщательного анализа ситуации.,-32.0625,-56.03125,-78.625,9.46875,Выводы из поражений были,верными из-за тщательного анализа ситуации.,-40.09375,-54.59375,16.0625
278,7.0,35.0,2.0,S,S,S,S_S-S,Вывод из поражения  был верным из-за тщательного анализа ситуации.,Вывод из поражения, был верным из-за тщательного анализа ситуации.,-31.0,-70.3125,-89.375,11.9375,Вывод из поражения ,был верным из-за тщательного анализа ситуации.,-36.71875,-59.09375,6.4375
279,8.0,35.0,2.0,S,S,P,P_S-S,Вывод из поражения  были верными из-за тщательного анализа ситуации.,Вывод из поражения, были верными из-за тщательного анализа ситуации.,-31.0,-67.875,-91.875,7.0,Вывод из поражения ,были верными из-за тщательного анализа ситуации.,-36.71875,-56.03125,0.875
280,1.0,36.0,2.0,S,P,P,P_S-P,Выдержка из книг были краткими для упрощения процесса запоминания.,Выдержка из книг,были краткими для упрощения процесса запоминания.,-30.53125,-57.1875,-76.375,11.34375,Выдержка из книг были,краткими для упрощения процесса запоминания.,-41.59375,-50.5,15.71875
281,2.0,36.0,2.0,P,S,S,S_P-S,Выдержки из книги была краткой для упрощения процесса запоминания.,Выдержки из книги,была краткой для упрощения процесса запоминания.,-25.078125,-56.78125,-74.875,6.984375,Выдержки из книги была,краткой для упрощения процесса запоминания.,-38.5625,-50.4375,14.125
282,3.0,36.0,2.0,P,S,P,P_P-S,Выдержки из книги были краткими для упрощения процесса запоминания.,Выдержки из книги,были краткими для упрощения процесса запоминания.,-25.078125,-57.1875,-70.8125,11.453125,Выдержки из книги были,краткими для упрощения процесса запоминания.,-34.8125,-50.5,14.5
283,4.0,36.0,2.0,P,P,S,S_P-P,Выдержки из книг была краткой для упрощения процесса запоминания.,Выдержки из книг,была краткой для упрощения процесса запоминания.,-26.203125,-56.78125,-73.625,9.359375,Выдержки из книг была,краткой для упрощения процесса запоминания.,-39.6875,-50.4375,16.5
284,5.0,36.0,2.0,P,P,P,P_P-P,Выдержки из книг были краткими для упрощения процесса запоминания.,Выдержки из книг,были краткими для упрощения процесса запоминания.,-26.203125,-57.1875,-69.5625,13.828125,Выдержки из книг были,краткими для упрощения процесса запоминания.,-35.375,-50.5,16.3125
285,6.0,36.0,2.0,S,S,S,S_S-S,Выдержка из книги была краткой для упрощения процесса запоминания.,Выдержка из книги,была краткой для упрощения процесса запоминания.,-26.21875,-56.78125,-73.0,10.0,Выдержка из книги была,краткой для упрощения процесса запоминания.,-36.15625,-50.4375,13.59375
286,7.0,36.0,2.0,S,S,P,P_S-S,Выдержка из книги были краткими для упрощения процесса запоминания.,Выдержка из книги,были краткими для упрощения процесса запоминания.,-26.21875,-57.1875,-74.1875,9.21875,Выдержка из книги были,краткими для упрощения процесса запоминания.,-37.84375,-50.5,14.15625
287,8.0,36.0,2.0,S,P,S,S_S-P,Выдержка из книг была краткой для упрощения процесса запоминания.,Выдержка из книг,была краткой для упрощения процесса запоминания.,-30.53125,-56.78125,-74.3125,13.0,Выдержка из книг была,краткой для упрощения процесса запоминания.,-39.1875,-50.4375,15.3125
288,1.0,37.0,2.0,P,S,S,S_P-S,Выписки из программы была сделана во время затянувшегося заседания.,Выписки из программы,была сделана во время затянувшегося заседания.,-31.65625,-47.65625,-75.375,3.9375,Выписки из программы была,сделана во время затянувшегося заседания.,-43.125,-47.6875,15.4375
289,2.0,37.0,2.0,P,S,P,P_P-S,Выписки из программы были сделаны во время затянувшегося заседания.,Выписки из программы,были сделаны во время затянувшегося заседания.,-31.65625,-46.53125,-69.9375,8.25,Выписки из программы были,сделаны во время затянувшегося заседания.,-38.8125,-47.34375,16.21875
290,3.0,37.0,2.0,P,P,S,S_P-P,Выписки из программ была сделана во время затянувшегося заседания.,Выписки из программ,была сделана во время затянувшегося заседания.,-30.0,-47.65625,-76.0,1.65625,Выписки из программ была,сделана во время затянувшегося заседания.,-43.3125,-47.6875,15.0
291,4.0,37.0,2.0,P,P,P,P_P-P,Выписки из программ были сделаны во время затянувшегося заседания.,Выписки из программ,были сделаны во время затянувшегося заседания.,-30.0,-46.53125,-70.625,5.90625,Выписки из программ были,сделаны во время затянувшегося заседания.,-38.8125,-47.34375,15.53125
292,5.0,37.0,2.0,S,S,S,S_S-S,Выписка из программы была сделана во время затянувшегося заседания.,Выписка из программы,была сделана во время затянувшегося заседания.,-29.765625,-47.65625,-69.625,7.796875,Выписка из программы была,сделана во время затянувшегося заседания.,-36.65625,-47.6875,14.71875
293,6.0,37.0,2.0,S,S,P,P_S-S,Выписка из программы были сделаны во время затянувшегося заседания.,Выписка из программы,были сделаны во время затянувшегося заседания.,-29.765625,-46.53125,-73.875,2.421875,Выписка из программы были,сделаны во время затянувшегося заседания.,-41.78125,-47.34375,15.25
294,7.0,37.0,2.0,S,P,S,S_S-P,Выписка из программ была сделана во время затянувшегося заседания.,Выписка из программ,была сделана во время затянувшегося заседания.,-32.875,-47.65625,-73.9375,6.59375,Выписка из программ была,сделана во время затянувшегося заседания.,-40.90625,-47.6875,14.65625
295,8.0,37.0,2.0,S,P,P,P_S-P,Выписка из программ были сделаны во время затянувшегося заседания.,Выписка из программ,были сделаны во время затянувшегося заседания.,-32.875,-46.53125,-76.875,2.53125,Выписка из программ были,сделаны во время затянувшегося заседания.,-45.125,-47.34375,15.59375
296,1.0,38.0,2.0,P,S,P,P_P-S,Выходы из ситуации были очевидными для опытного школьного психолога.,Выходы из ситуации,были очевидными для опытного школьного психолога.,-26.046875,-52.5625,-70.3125,8.296875,Выходы из ситуации были,очевидными для опытного школьного психолога.,-31.578125,-48.21875,9.484375
297,2.0,38.0,2.0,P,P,S,S_P-P,Выходы из ситуаций был очевидным для опытного школьного психолога.,Выходы из ситуаций,был очевидным для опытного школьного психолога.,-26.890625,-52.46875,-76.75,2.609375,Выходы из ситуаций был,очевидным для опытного школьного психолога.,-38.9375,-46.0625,8.25
298,3.0,38.0,2.0,P,P,P,P_P-P,Выходы из ситуаций были очевидными для опытного школьного психолога.,Выходы из ситуаций,были очевидными для опытного школьного психолога.,-26.890625,-52.5625,-72.25,7.203125,Выходы из ситуаций были,очевидными для опытного школьного психолога.,-34.25,-48.21875,10.21875
299,4.0,38.0,2.0,S,S,S,S_S-S,Выход из ситуации  был очевидным для опытного школьного психолога.,Выход из ситуации, был очевидным для опытного школьного психолога.,-24.546875,-63.03125,-83.1875,4.390625,Выход из ситуации ,был очевидным для опытного школьного психолога.,-28.40625,-52.46875,-2.3125
300,5.0,38.0,2.0,S,S,P,P_S-S,Выход из ситуации  были очевидными для опытного школьного психолога.,Выход из ситуации, были очевидными для опытного школьного психолога.,-24.546875,-63.21875,-83.125,4.640625,Выход из ситуации ,были очевидными для опытного школьного психолога.,-28.40625,-52.5625,-2.15625
301,6.0,38.0,2.0,S,P,S,S_S-P,Выход из ситуаций был очевидным для опытного школьного психолога.,Выход из ситуаций,был очевидным для опытного школьного психолога.,-27.84375,-52.46875,-74.875,5.4375,Выход из ситуаций был,очевидным для опытного школьного психолога.,-36.9375,-46.0625,8.125
302,7.0,38.0,2.0,S,P,P,P_S-P,Выход из ситуаций были очевидными для опытного школьного психолога.,Выход из ситуаций,были очевидными для опытного школьного психолога.,-27.84375,-52.5625,-76.0,4.40625,Выход из ситуаций были,очевидными для опытного школьного психолога.,-40.8125,-48.21875,13.03125
303,8.0,38.0,2.0,P,S,S,S_P-S,Выходы из ситуации был очевидным для опытного школьного психолога.,Выходы из ситуации,был очевидным для опытного школьного психолога.,-26.046875,-52.46875,-77.375,1.140625,Выходы из ситуации был,очевидным для опытного школьного психолога.,-37.03125,-46.0625,5.71875
304,1.0,39.0,2.0,P,P,S,S_P-P,Доски для афиш была прибита к ограде маленького театра.,Доски для афиш,была прибита к ограде маленького театра.,-31.390625,-52.25,-75.625,8.015625,Доски для афиш была,прибита к ограде маленького театра.,-45.84375,-50.21875,20.4375
305,2.0,39.0,2.0,P,P,P,P_P-P,Доски для афиш были прибиты к ограде маленького театра.,Доски для афиш,были прибиты к ограде маленького театра.,-31.390625,-50.25,-70.3125,11.328125,Доски для афиш были,прибиты к ограде маленького театра.,-41.4375,-50.375,21.5
306,3.0,39.0,2.0,S,S,S,S_S-S,Доска для афиши была прибита к ограде маленького театра.,Доска для афиши,была прибита к ограде маленького театра.,-31.53125,-52.25,-70.1875,13.59375,Доска для афиши была,прибита к ограде маленького театра.,-42.375,-50.21875,22.40625
307,4.0,39.0,2.0,S,S,P,P_S-S,Доска для афиши были прибиты к ограде маленького театра.,Доска для афиши,были прибиты к ограде маленького театра.,-31.53125,-50.25,-75.4375,6.34375,Доска для афиши были,прибиты к ограде маленького театра.,-46.40625,-50.375,21.34375
308,5.0,39.0,2.0,S,P,S,S_S-P,Доска для афиш была прибита к ограде маленького театра.,Доска для афиш,была прибита к ограде маленького театра.,-30.46875,-52.25,-68.0,14.71875,Доска для афиш была,прибита к ограде маленького театра.,-39.6875,-50.21875,21.90625
309,6.0,39.0,2.0,S,P,P,P_S-P,Доска для афиш были прибиты к ограде маленького театра.,Доска для афиш,были прибиты к ограде маленького театра.,-30.46875,-50.25,-74.25,6.46875,Доска для афиш были,прибиты к ограде маленького театра.,-45.03125,-50.375,21.15625
310,7.0,39.0,2.0,P,S,S,S_P-S,Доски для афиши была прибита к ограде маленького театра.,Доски для афиши,была прибита к ограде маленького театра.,-34.6875,-52.25,-80.1875,6.75,Доски для афиши была,прибита к ограде маленького театра.,-49.84375,-50.21875,19.875
311,8.0,39.0,2.0,P,S,P,P_P-S,Доски для афиши были прибиты к ограде маленького театра.,Доски для афиши,были прибиты к ограде маленького театра.,-34.6875,-50.25,-73.6875,11.25,Доски для афиши были,прибиты к ограде маленького театра.,-45.09375,-50.375,21.78125
312,1.0,40.0,2.0,P,P,P,P_P-P,Задержки из-за наводнений были пугающими из-за отсутствия достоверной информации.,Задержки из-за наводнений,были пугающими из-за отсутствия достоверной информации.,-32.90625,-49.9375,-76.4375,6.40625,Задержки из-за наводнений были,пугающими из-за отсутствия достоверной информации.,-39.375,-45.9375,8.875
313,2.0,40.0,2.0,S,S,S,S_S-S,Задержка из-за наводнения была пугающей из-за отсутствия достоверной информации.,Задержка из-за наводнения,была пугающей из-за отсутствия достоверной информации.,-35.125,-49.46875,-76.1875,8.40625,Задержка из-за наводнения была,пугающей из-за отсутствия достоверной информации.,-41.15625,-44.59375,9.5625
314,3.0,40.0,2.0,S,S,P,P_S-S,Задержка из-за наводнения были пугающими из-за отсутствия достоверной информации.,Задержка из-за наводнения,были пугающими из-за отсутствия достоверной информации.,-35.125,-49.9375,-82.0,3.0625,Задержка из-за наводнения были,пугающими из-за отсутствия достоверной информации.,-46.78125,-45.9375,10.71875
315,4.0,40.0,2.0,S,P,S,S_S-P,Задержка из-за наводнений была пугающей из-за отсутствия достоверной информации.,Задержка из-за наводнений,была пугающей из-за отсутствия достоверной информации.,-36.84375,-49.46875,-78.5625,7.75,Задержка из-за наводнений была,пугающей из-за отсутствия достоверной информации.,-44.46875,-44.59375,10.5
316,5.0,40.0,2.0,S,P,P,P_S-P,Задержка из-за наводнений были пугающими из-за отсутствия достоверной информации.,Задержка из-за наводнений,были пугающими из-за отсутствия достоверной информации.,-36.84375,-49.9375,-83.5625,3.21875,Задержка из-за наводнений были,пугающими из-за отсутствия достоверной информации.,-48.78125,-45.9375,11.15625
317,6.0,40.0,2.0,P,S,S,S_P-S,Задержки из-за наводнения была пугающей из-за отсутствия достоверной информации.,Задержки из-за наводнения,была пугающей из-за отсутствия достоверной информации.,-32.5,-49.46875,-82.25,-0.28125,Задержки из-за наводнения была,пугающей из-за отсутствия достоверной информации.,-44.1875,-44.59375,6.53125
318,7.0,40.0,2.0,P,S,P,P_P-S,Задержки из-за наводнения были пугающими из-за отсутствия достоверной информации.,Задержки из-за наводнения,были пугающими из-за отсутствия достоверной информации.,-32.5,-49.9375,-74.875,7.5625,Задержки из-за наводнения были,пугающими из-за отсутствия достоверной информации.,-37.53125,-45.9375,8.59375
319,8.0,40.0,2.0,P,P,S,S_P-P,Задержки из-за наводнений была пугающей из-за отсутствия достоверной информации.,Задержки из-за наводнений,была пугающей из-за отсутствия достоверной информации.,-32.90625,-49.46875,-83.3125,-0.9375,Задержки из-за наводнений была,пугающей из-за отсутствия достоверной информации.,-46.375,-44.59375,7.65625
320,1.0,41.0,2.0,S,S,S,S_S-S,Зал для заседания был громадным по масштабам небольшого городка.,Зал для заседания,был громадным по масштабам небольшого городка.,-29.3125,-51.15625,-71.8125,8.65625,Зал для заседания был,громадным по масштабам небольшого городка.,-37.0625,-51.6875,16.9375
321,2.0,41.0,2.0,S,S,P,P_S-S,Зал для заседания были громадными по масштабам небольшого городка.,Зал для заседания,были громадными по масштабам небольшого городка.,-29.3125,-50.90625,-76.125,4.09375,Зал для заседания были,громадными по масштабам небольшого городка.,-41.46875,-51.3125,16.65625
322,3.0,41.0,2.0,S,P,S,S_S-P,Зал для заседаний был громадным по масштабам небольшого городка.,Зал для заседаний,был громадным по масштабам небольшого городка.,-25.0,-51.15625,-67.5625,8.59375,Зал для заседаний был,громадным по масштабам небольшого городка.,-32.5,-51.6875,16.625
323,4.0,41.0,2.0,S,P,P,P_S-P,Зал для заседаний были громадными по масштабам небольшого городка.,Зал для заседаний,были громадными по масштабам небольшого городка.,-25.0,-50.90625,-72.5,3.40625,Зал для заседаний были,громадными по масштабам небольшого городка.,-37.84375,-51.3125,16.65625
324,5.0,41.0,2.0,P,S,S,S_P-S,Залы для заседания был громадным по масштабам небольшого городка.,Залы для заседания,был громадным по масштабам небольшого городка.,-31.890625,-51.15625,-80.5,2.546875,Залы для заседания был,громадным по масштабам небольшого городка.,-43.625,-51.6875,14.8125
325,6.0,41.0,2.0,P,S,P,P_P-S,Залы для заседания были громадными по масштабам небольшого городка.,Залы для заседания,были громадными по масштабам небольшого городка.,-31.890625,-50.90625,-74.0625,8.734375,Залы для заседания были,громадными по масштабам небольшого городка.,-39.59375,-51.3125,16.84375
326,7.0,41.0,2.0,P,P,S,S_P-P,Залы для заседаний был громадным по масштабам небольшого городка.,Залы для заседаний,был громадным по масштабам небольшого городка.,-27.734375,-51.15625,-76.875,2.015625,Залы для заседаний был,громадным по масштабам небольшого городка.,-40.8125,-51.6875,15.625
327,8.0,41.0,2.0,P,P,P,P_P-P,Залы для заседаний были громадными по масштабам небольшого городка.,Залы для заседаний,были громадными по масштабам небольшого городка.,-27.734375,-50.90625,-69.625,9.015625,Залы для заседаний были,громадными по масштабам небольшого городка.,-35.71875,-51.3125,17.40625
328,1.0,42.0,2.0,S,S,P,P_S-S,Запчасть для иномарки были старыми по меркам современного автовладельца.,Запчасть для иномарки,были старыми по меркам современного автовладельца.,-30.03125,-56.09375,-82.1875,3.9375,Запчасть для иномарки были,старыми по меркам современного автовладельца.,-43.96875,-51.75,13.53125
329,2.0,42.0,2.0,S,P,S,S_S-P,Запчасть для иномарок была старой по меркам современного автовладельца.,Запчасть для иномарок,была старой по меркам современного автовладельца.,-30.078125,-54.8125,-79.0,5.890625,Запчасть для иномарок была,старой по меркам современного автовладельца.,-40.8125,-51.03125,12.84375
330,3.0,42.0,2.0,S,P,P,P_S-P,Запчасть для иномарок были старыми по меркам современного автовладельца.,Запчасть для иномарок,были старыми по меркам современного автовладельца.,-30.078125,-56.09375,-82.0625,4.109375,Запчасть для иномарок были,старыми по меркам современного автовладельца.,-43.6875,-51.75,13.375
331,4.0,42.0,2.0,P,S,S,S_P-S,Запчасти для иномарки была старой по меркам современного автовладельца.,Запчасти для иномарки,была старой по меркам современного автовладельца.,-29.203125,-54.8125,-82.375,1.640625,Запчасти для иномарки была,старой по меркам современного автовладельца.,-44.90625,-51.03125,13.5625
332,5.0,42.0,2.0,P,S,P,P_P-S,Запчасти для иномарки были старыми по меркам современного автовладельца.,Запчасти для иномарки,были старыми по меркам современного автовладельца.,-29.203125,-56.09375,-78.8125,6.484375,Запчасти для иномарки были,старыми по меркам современного автовладельца.,-41.65625,-51.75,14.59375
333,6.0,42.0,2.0,P,P,S,S_P-P,Запчасти для иномарок была старой по меркам современного автовладельца.,Запчасти для иномарок,была старой по меркам современного автовладельца.,-23.46875,-54.8125,-76.625,1.65625,Запчасти для иномарок была,старой по меркам современного автовладельца.,-39.15625,-51.03125,13.5625
334,7.0,42.0,2.0,P,P,P,P_P-P,Запчасти для иномарок были старыми по меркам современного автовладельца.,Запчасти для иномарок,были старыми по меркам современного автовладельца.,-23.46875,-56.09375,-74.5625,5.0,Запчасти для иномарок были,старыми по меркам современного автовладельца.,-36.375,-51.75,13.5625
335,8.0,42.0,2.0,S,S,S,S_S-S,Запчасть для иномарки была старой по меркам современного автовладельца.,Запчасть для иномарки,была старой по меркам современного автовладельца.,-30.03125,-54.8125,-77.4375,7.40625,Запчасть для иномарки была,старой по меркам современного автовладельца.,-40.75,-51.03125,14.34375
336,1.0,43.0,2.0,S,P,S,S_S-P,Исключение из правил было выписано на аккуратно свернутую шпаргалку.,Исключение из правил,было выписано на аккуратно свернутую шпаргалку.,-23.640625,-60.71875,-81.0,3.359375,Исключение из правил было,выписано на аккуратно свернутую шпаргалку.,-30.484375,-59.875,9.359375
337,2.0,43.0,2.0,S,P,P,P_S-P,Исключение из правил были выписаны на аккуратно свернутую шпаргалку.,Исключение из правил,были выписаны на аккуратно свернутую шпаргалку.,-23.640625,-59.59375,-85.5,-2.265625,Исключение из правил были,выписаны на аккуратно свернутую шпаргалку.,-35.15625,-57.0625,6.71875
338,3.0,43.0,2.0,P,S,S,S_P-S,Исключения из правила было выписано на аккуратно свернутую шпаргалку.,Исключения из правила,было выписано на аккуратно свернутую шпаргалку.,-25.8125,-60.71875,-87.0,-0.46875,Исключения из правила было,выписано на аккуратно свернутую шпаргалку.,-37.375,-59.875,10.25
339,4.0,43.0,2.0,P,S,P,P_P-S,Исключения из правила были выписаны на аккуратно свернутую шпаргалку.,Исключения из правила,были выписаны на аккуратно свернутую шпаргалку.,-25.8125,-59.59375,-80.5,4.90625,Исключения из правила были,выписаны на аккуратно свернутую шпаргалку.,-30.234375,-57.0625,6.796875
340,5.0,43.0,2.0,P,P,S,S_P-P,Исключения из правил было выписано на аккуратно свернутую шпаргалку.,Исключения из правил,было выписано на аккуратно свернутую шпаргалку.,-23.3125,-60.71875,-87.125,-3.09375,Исключения из правил было,выписано на аккуратно свернутую шпаргалку.,-35.9375,-59.875,8.6875
341,6.0,43.0,2.0,P,P,P,P_P-P,Исключения из правил были выписаны на аккуратно свернутую шпаргалку.,Исключения из правил,были выписаны на аккуратно свернутую шпаргалку.,-23.3125,-59.59375,-79.3125,3.59375,Исключения из правил были,выписаны на аккуратно свернутую шпаргалку.,-28.703125,-57.0625,6.453125
342,7.0,43.0,2.0,S,S,S,S_S-S,Исключение из правила было выписано на аккуратно свернутую шпаргалку.,Исключение из правила,было выписано на аккуратно свернутую шпаргалку.,-25.796875,-60.71875,-81.375,5.140625,Исключение из правила было,выписано на аккуратно свернутую шпаргалку.,-32.03125,-59.875,10.53125
343,8.0,43.0,2.0,S,S,P,P_S-S,Исключение из правила были выписаны на аккуратно свернутую шпаргалку.,Исключение из правила,были выписаны на аккуратно свернутую шпаргалку.,-25.796875,-59.59375,-84.6875,0.703125,Исключение из правила были,выписаны на аккуратно свернутую шпаргалку.,-36.3125,-57.0625,8.6875
344,1.0,44.0,2.0,S,P,P,P_S-P,Истерика из-за оценок были бурными по мнению родителей девочки.,Истерика из-за оценок,были бурными по мнению родителей девочки.,-30.640625,-52.65625,-82.125,1.171875,Истерика из-за оценок были,бурными по мнению родителей девочки.,-41.875,-53.9375,13.6875
345,2.0,44.0,2.0,P,S,S,S_P-S,Истерики из-за оценки была бурной по мнению родителей девочки.,Истерики из-за оценки,была бурной по мнению родителей девочки.,-32.71875,-51.1875,-84.5625,-0.65625,Истерики из-за оценки была,бурной по мнению родителей девочки.,-44.0,-48.53125,7.96875
346,3.0,44.0,2.0,P,S,P,P_P-S,Истерики из-за оценки были бурными по мнению родителей девочки.,Истерики из-за оценки,были бурными по мнению родителей девочки.,-32.71875,-52.65625,-79.8125,5.5625,Истерики из-за оценки были,бурными по мнению родителей девочки.,-39.71875,-53.9375,13.84375
347,4.0,44.0,2.0,P,P,S,S_P-P,Истерики из-за оценок была бурной по мнению родителей девочки.,Истерики из-за оценок,была бурной по мнению родителей девочки.,-30.84375,-51.1875,-83.875,-1.84375,Истерики из-за оценок была,бурной по мнению родителей девочки.,-42.34375,-48.53125,7.0
348,5.0,44.0,2.0,P,P,P,P_P-P,Истерики из-за оценок были бурными по мнению родителей девочки.,Истерики из-за оценок,были бурными по мнению родителей девочки.,-30.84375,-52.65625,-78.125,5.375,Истерики из-за оценок были,бурными по мнению родителей девочки.,-37.5625,-53.9375,13.375
349,6.0,44.0,2.0,S,S,S,S_S-S,Истерика из-за оценки была бурной по мнению родителей девочки.,Истерика из-за оценки,была бурной по мнению родителей девочки.,-31.375,-51.1875,-75.0,7.5625,Истерика из-за оценки была,бурной по мнению родителей девочки.,-38.125,-48.53125,11.65625
