,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,leftA,rightA,masked_leftA,masked_fullA,need_to_predict,left_bert_is_singular,left_bert_is_singular_score,left_bert_is_plural_score
246,7.0,31.0,1.0,P,S,S,S_P-S,Рецепты на порошок был мятым из-за частого предъявления аптекарям.,Рецепты на порошок был,мятым из-за частого предъявления аптекарям.,Рецепты на порошок был [MASK],Рецепты на порошок был [MASK] из-за частого предъявления аптекарям.,мятым,True,0.6322017312049866,-0.5634729862213135
247,8.0,31.0,1.0,P,S,P,P_P-S,Рецепты на порошок были мятыми из-за частого предъявления аптекарям.,Рецепты на порошок были,мятыми из-за частого предъявления аптекарям.,Рецепты на порошок были [MASK],Рецепты на порошок были [MASK] из-за частого предъявления аптекарям.,мятыми,True,0.4229782819747925,0.21011178195476532
248,1.0,32.0,1.0,P,P,P,P_P-P,Ссылки на сайты были даны в списке источников статьи.,Ссылки на сайты были,даны в списке источников статьи.,Ссылки на сайты были [MASK],Ссылки на сайты были [MASK] в списке источников статьи.,даны,False,-0.8723452687263489,4.664738655090332
249,2.0,32.0,1.0,S,S,S,S_S-S,Ссылка на сайт была дана в списке источников статьи.,Ссылка на сайт была,дана в списке источников статьи.,Ссылка на сайт была [MASK],Ссылка на сайт была [MASK] в списке источников статьи.,дана,True,4.826059341430664,-0.7111024856567383
250,3.0,32.0,1.0,S,S,P,P_S-S,Ссылка на сайт были даны в списке источников статьи.,Ссылка на сайт были,даны в списке источников статьи.,Ссылка на сайт были [MASK],Ссылка на сайт были [MASK] в списке источников статьи.,даны,False,2.237070322036743,2.5983200073242188
251,4.0,32.0,1.0,S,P,S,S_S-P,Ссылка на сайты была дана в списке источников статьи.,Ссылка на сайты была,дана в списке источников статьи.,Ссылка на сайты была [MASK],Ссылка на сайты была [MASK] в списке источников статьи.,дана,True,5.099358558654785,-0.4448307156562805
252,5.0,32.0,1.0,S,P,P,P_S-P,Ссылка на сайты были даны в списке источников статьи.,Ссылка на сайты были,даны в списке источников статьи.,Ссылка на сайты были [MASK],Ссылка на сайты были [MASK] в списке источников статьи.,даны,False,1.3349446058273315,4.790840148925781
253,6.0,32.0,1.0,P,S,S,S_P-S,Ссылки на сайт была дана в списке источников статьи.,Ссылки на сайт была,дана в списке источников статьи.,Ссылки на сайт была [MASK],Ссылки на сайт была [MASK] в списке источников статьи.,дана,False,2.0156946182250977,2.3527638912200928
254,7.0,32.0,1.0,P,S,P,P_P-S,Ссылки на сайт были даны в списке источников статьи.,Ссылки на сайт были,даны в списке источников статьи.,Ссылки на сайт были [MASK],Ссылки на сайт были [MASK] в списке источников статьи.,даны,False,-0.8001447319984436,5.050592422485352
255,8.0,32.0,1.0,P,P,S,S_P-P,Ссылки на сайты была дана в списке источников статьи.,Ссылки на сайты была,дана в списке источников статьи.,Ссылки на сайты была [MASK],Ссылки на сайты была [MASK] в списке источников статьи.,дана,False,1.0941375494003296,3.055678129196167
256,1.0,33.0,2.0,S,S,S,S_S-S,Аргумент против обвинения был сокрушительным для адвоката пострадавшей стороны.,Аргумент против обвинения был,сокрушительным для адвоката пострадавшей стороны.,Аргумент против обвинения был [MASK],Аргумент против обвинения был [MASK] для адвоката пострадавшей стороны.,сокрушительным,True,-0.18343116343021393,-0.6642942428588867
257,2.0,33.0,2.0,S,S,P,P_S-S,Аргумент против обвинения были сокрушительными для адвоката пострадавшей стороны.,Аргумент против обвинения были,сокрушительными для адвоката пострадавшей стороны.,Аргумент против обвинения были [MASK],Аргумент против обвинения были [MASK] для адвоката пострадавшей стороны.,сокрушительными,False,-0.5528755784034729,0.44220879673957825
258,3.0,33.0,2.0,S,P,S,S_S-P,Аргумент против обвинений был сокрушительным для адвоката пострадавшей стороны.,Аргумент против обвинений был,сокрушительным для адвоката пострадавшей стороны.,Аргумент против обвинений был [MASK],Аргумент против обвинений был [MASK] для адвоката пострадавшей стороны.,сокрушительным,True,0.05997346341609955,-0.36899033188819885
259,4.0,33.0,2.0,S,P,P,P_S-P,Аргумент против обвинений были сокрушительными для адвоката пострадавшей стороны.,Аргумент против обвинений были,сокрушительными для адвоката пострадавшей стороны.,Аргумент против обвинений были [MASK],Аргумент против обвинений были [MASK] для адвоката пострадавшей стороны.,сокрушительными,False,-0.6083129644393921,0.4914357364177704
260,5.0,33.0,2.0,P,S,S,S_P-S,Аргументы против обвинения был сокрушительным для адвоката пострадавшей стороны.,Аргументы против обвинения был,сокрушительным для адвоката пострадавшей стороны.,Аргументы против обвинения был [MASK],Аргументы против обвинения был [MASK] для адвоката пострадавшей стороны.,сокрушительным,True,-1.946030616760254,-2.314424991607666
261,6.0,33.0,2.0,P,S,P,P_P-S,Аргументы против обвинения были сокрушительными для адвоката пострадавшей стороны.,Аргументы против обвинения были,сокрушительными для адвоката пострадавшей стороны.,Аргументы против обвинения были [MASK],Аргументы против обвинения были [MASK] для адвоката пострадавшей стороны.,сокрушительными,False,-1.264395833015442,-0.4008569121360779
262,7.0,33.0,2.0,P,P,S,S_P-P,Аргументы против обвинений был сокрушительным для адвоката пострадавшей стороны.,Аргументы против обвинений был,сокрушительным для адвоката пострадавшей стороны.,Аргументы против обвинений был [MASK],Аргументы против обвинений был [MASK] для адвоката пострадавшей стороны.,сокрушительным,True,-1.3820316791534424,-1.6220989227294922
263,8.0,33.0,2.0,P,P,P,P_P-P,Аргументы против обвинений были сокрушительными для адвоката пострадавшей стороны.,Аргументы против обвинений были,сокрушительными для адвоката пострадавшей стороны.,Аргументы против обвинений были [MASK],Аргументы против обвинений были [MASK] для адвоката пострадавшей стороны.,сокрушительными,False,-1.1887680292129517,-0.17918944358825684
264,1.0,34.0,2.0,S,S,P,P_S-S,Видеозапись с лекции  были содержательными для пропустивших занятия студентов.,Видеозапись с лекции были,содержательными для пропустивших занятия студентов.,Видеозапись с лекции были [MASK],Видеозапись с лекции были [MASK] для пропустивших занятия студентов.,содержательными,True,-0.22033238410949707,-0.6276850700378418
265,2.0,34.0,2.0,S,P,S,S_S-P,Видеозапись с лекций была содержательной для пропустивших занятия студентов.,Видеозапись с лекций была,содержательной для пропустивших занятия студентов.,Видеозапись с лекций была [MASK],Видеозапись с лекций была [MASK] для пропустивших занятия студентов.,содержательной,True,-1.7014179229736328,-2.8576574325561523
266,3.0,34.0,2.0,S,P,P,P_S-P,Видеозапись с лекций были содержательными для пропустивших занятия студентов.,Видеозапись с лекций были,содержательными для пропустивших занятия студентов.,Видеозапись с лекций были [MASK],Видеозапись с лекций были [MASK] для пропустивших занятия студентов.,содержательными,True,-0.2268613576889038,-0.2770928144454956
267,4.0,34.0,2.0,P,S,S,S_P-S,Видеозаписи с лекции была содержательной для пропустивших занятия студентов.,Видеозаписи с лекции была,содержательной для пропустивших занятия студентов.,Видеозаписи с лекции была [MASK],Видеозаписи с лекции была [MASK] для пропустивших занятия студентов.,содержательной,True,-1.911882996559143,-2.5095863342285156
268,5.0,34.0,2.0,P,S,P,P_P-S,Видеозаписи с лекции были содержательными для пропустивших занятия студентов.,Видеозаписи с лекции были,содержательными для пропустивших занятия студентов.,Видеозаписи с лекции были [MASK],Видеозаписи с лекции были [MASK] для пропустивших занятия студентов.,содержательными,True,-0.9464051723480225,-1.1239346265792847
269,6.0,34.0,2.0,P,P,S,S_P-P,Видеозаписи с лекций была содержательной для пропустивших занятия студентов.,Видеозаписи с лекций была,содержательной для пропустивших занятия студентов.,Видеозаписи с лекций была [MASK],Видеозаписи с лекций была [MASK] для пропустивших занятия студентов.,содержательной,True,-1.391725778579712,-1.4891693592071533
270,7.0,34.0,2.0,P,P,P,P_P-P,Видеозаписи с лекций были содержательными для пропустивших занятия студентов.,Видеозаписи с лекций были,содержательными для пропустивших занятия студентов.,Видеозаписи с лекций были [MASK],Видеозаписи с лекций были [MASK] для пропустивших занятия студентов.,содержательными,False,-0.6920784711837769,-0.4727362394332886
271,8.0,34.0,2.0,S,S,S,S_S-S,Видеозапись с лекции  была содержательной для пропустивших занятия студентов.,Видеозапись с лекции была,содержательной для пропустивших занятия студентов.,Видеозапись с лекции была [MASK],Видеозапись с лекции была [MASK] для пропустивших занятия студентов.,содержательной,True,-1.9591851234436035,-3.3503665924072266
272,1.0,35.0,2.0,S,P,S,S_S-P,Вывод из поражений был верным из-за тщательного анализа ситуации.,Вывод из поражений был,верным из-за тщательного анализа ситуации.,Вывод из поражений был [MASK],Вывод из поражений был [MASK] из-за тщательного анализа ситуации.,верным,True,5.8958916664123535,-0.12671932578086853
273,2.0,35.0,2.0,S,P,P,P_S-P,Вывод из поражений были верными из-за тщательного анализа ситуации.,Вывод из поражений были,верными из-за тщательного анализа ситуации.,Вывод из поражений были [MASK],Вывод из поражений были [MASK] из-за тщательного анализа ситуации.,верными,False,1.7931874990463257,1.917937994003296
274,3.0,35.0,2.0,P,S,S,S_P-S,Выводы из поражения был верным из-за тщательного анализа ситуации.,Выводы из поражения был,верным из-за тщательного анализа ситуации.,Выводы из поражения был [MASK],Выводы из поражения был [MASK] из-за тщательного анализа ситуации.,верным,False,2.885478973388672,3.1971819400787354
275,4.0,35.0,2.0,P,S,P,P_P-S,Выводы из поражения были верными из-за тщательного анализа ситуации.,Выводы из поражения были,верными из-за тщательного анализа ситуации.,Выводы из поражения были [MASK],Выводы из поражения были [MASK] из-за тщательного анализа ситуации.,верными,False,2.8947091102600098,6.477441787719727
276,5.0,35.0,2.0,P,P,S,S_P-P,Выводы из поражений был верным из-за тщательного анализа ситуации.,Выводы из поражений был,верным из-за тщательного анализа ситуации.,Выводы из поражений был [MASK],Выводы из поражений был [MASK] из-за тщательного анализа ситуации.,верным,False,2.0933995246887207,2.232863426208496
277,6.0,35.0,2.0,P,P,P,P_P-P,Выводы из поражений были верными из-за тщательного анализа ситуации.,Выводы из поражений были,верными из-за тщательного анализа ситуации.,Выводы из поражений были [MASK],Выводы из поражений были [MASK] из-за тщательного анализа ситуации.,верными,False,2.2633862495422363,6.098904609680176
278,7.0,35.0,2.0,S,S,S,S_S-S,Вывод из поражения  был верным из-за тщательного анализа ситуации.,Вывод из поражения был,верным из-за тщательного анализа ситуации.,Вывод из поражения был [MASK],Вывод из поражения был [MASK] из-за тщательного анализа ситуации.,верным,True,5.600873947143555,0.18897846341133118
279,8.0,35.0,2.0,S,S,P,P_S-S,Вывод из поражения  были верными из-за тщательного анализа ситуации.,Вывод из поражения были,верными из-за тщательного анализа ситуации.,Вывод из поражения были [MASK],Вывод из поражения были [MASK] из-за тщательного анализа ситуации.,верными,True,1.8080190420150757,1.5744664669036865
280,1.0,36.0,2.0,S,P,P,P_S-P,Выдержка из книг были краткими для упрощения процесса запоминания.,Выдержка из книг были,краткими для упрощения процесса запоминания.,Выдержка из книг были [MASK],Выдержка из книг были [MASK] для упрощения процесса запоминания.,краткими,False,2.1445648670196533,4.676823139190674
281,2.0,36.0,2.0,P,S,S,S_P-S,Выдержки из книги была краткой для упрощения процесса запоминания.,Выдержки из книги была,краткой для упрощения процесса запоминания.,Выдержки из книги была [MASK],Выдержки из книги была [MASK] для упрощения процесса запоминания.,краткой,False,3.2116732597351074,4.53407096862793
282,3.0,36.0,2.0,P,S,P,P_P-S,Выдержки из книги были краткими для упрощения процесса запоминания.,Выдержки из книги были,краткими для упрощения процесса запоминания.,Выдержки из книги были [MASK],Выдержки из книги были [MASK] для упрощения процесса запоминания.,краткими,False,0.5671519637107849,4.900347709655762
283,4.0,36.0,2.0,P,P,S,S_P-P,Выдержки из книг была краткой для упрощения процесса запоминания.,Выдержки из книг была,краткой для упрощения процесса запоминания.,Выдержки из книг была [MASK],Выдержки из книг была [MASK] для упрощения процесса запоминания.,краткой,False,2.3841097354888916,4.415117263793945
284,5.0,36.0,2.0,P,P,P,P_P-P,Выдержки из книг были краткими для упрощения процесса запоминания.,Выдержки из книг были,краткими для упрощения процесса запоминания.,Выдержки из книг были [MASK],Выдержки из книг были [MASK] для упрощения процесса запоминания.,краткими,False,0.24565525352954865,4.66071081161499
285,6.0,36.0,2.0,S,S,S,S_S-S,Выдержка из книги была краткой для упрощения процесса запоминания.,Выдержка из книги была,краткой для упрощения процесса запоминания.,Выдержка из книги была [MASK],Выдержка из книги была [MASK] для упрощения процесса запоминания.,краткой,True,6.041102409362793,4.045785427093506
286,7.0,36.0,2.0,S,S,P,P_S-S,Выдержка из книги были краткими для упрощения процесса запоминания.,Выдержка из книги были,краткими для упрощения процесса запоминания.,Выдержка из книги были [MASK],Выдержка из книги были [MASK] для упрощения процесса запоминания.,краткими,False,3.9887092113494873,5.060870170593262
287,8.0,36.0,2.0,S,P,S,S_S-P,Выдержка из книг была краткой для упрощения процесса запоминания.,Выдержка из книг была,краткой для упрощения процесса запоминания.,Выдержка из книг была [MASK],Выдержка из книг была [MASK] для упрощения процесса запоминания.,краткой,True,5.331944465637207,3.965343475341797
288,1.0,37.0,2.0,P,S,S,S_P-S,Выписки из программы была сделана во время затянувшегося заседания.,Выписки из программы была,сделана во время затянувшегося заседания.,Выписки из программы была [MASK],Выписки из программы была [MASK] во время затянувшегося заседания.,сделана,True,7.8015265464782715,5.480708599090576
289,2.0,37.0,2.0,P,S,P,P_P-S,Выписки из программы были сделаны во время затянувшегося заседания.,Выписки из программы были,сделаны во время затянувшегося заседания.,Выписки из программы были [MASK],Выписки из программы были [MASK] во время затянувшегося заседания.,сделаны,False,1.9653152227401733,10.015032768249512
290,3.0,37.0,2.0,P,P,S,S_P-P,Выписки из программ была сделана во время затянувшегося заседания.,Выписки из программ была,сделана во время затянувшегося заседания.,Выписки из программ была [MASK],Выписки из программ была [MASK] во время затянувшегося заседания.,сделана,True,7.718289852142334,5.920583724975586
291,4.0,37.0,2.0,P,P,P,P_P-P,Выписки из программ были сделаны во время затянувшегося заседания.,Выписки из программ были,сделаны во время затянувшегося заседания.,Выписки из программ были [MASK],Выписки из программ были [MASK] во время затянувшегося заседания.,сделаны,False,2.3046247959136963,9.943317413330078
292,5.0,37.0,2.0,S,S,S,S_S-S,Выписка из программы была сделана во время затянувшегося заседания.,Выписка из программы была,сделана во время затянувшегося заседания.,Выписка из программы была [MASK],Выписка из программы была [MASK] во время затянувшегося заседания.,сделана,True,8.340288162231445,2.764612913131714
293,6.0,37.0,2.0,S,S,P,P_S-S,Выписка из программы были сделаны во время затянувшегося заседания.,Выписка из программы были,сделаны во время затянувшегося заседания.,Выписка из программы были [MASK],Выписка из программы были [MASK] во время затянувшегося заседания.,сделаны,False,4.175031661987305,9.38200855255127
294,7.0,37.0,2.0,S,P,S,S_S-P,Выписка из программ была сделана во время затянувшегося заседания.,Выписка из программ была,сделана во время затянувшегося заседания.,Выписка из программ была [MASK],Выписка из программ была [MASK] во время затянувшегося заседания.,сделана,True,8.415190696716309,3.1377999782562256
295,8.0,37.0,2.0,S,P,P,P_S-P,Выписка из программ были сделаны во время затянувшегося заседания.,Выписка из программ были,сделаны во время затянувшегося заседания.,Выписка из программ были [MASK],Выписка из программ были [MASK] во время затянувшегося заседания.,сделаны,False,4.076091289520264,9.200125694274902
296,1.0,38.0,2.0,P,S,P,P_P-S,Выходы из ситуации были очевидными для опытного школьного психолога.,Выходы из ситуации были,очевидными для опытного школьного психолога.,Выходы из ситуации были [MASK],Выходы из ситуации были [MASK] для опытного школьного психолога.,очевидными,False,4.3896002769470215,6.56746768951416
297,2.0,38.0,2.0,P,P,S,S_P-P,Выходы из ситуаций был очевидным для опытного школьного психолога.,Выходы из ситуаций был,очевидным для опытного школьного психолога.,Выходы из ситуаций был [MASK],Выходы из ситуаций был [MASK] для опытного школьного психолога.,очевидным,False,3.636348009109497,6.457581520080566
298,3.0,38.0,2.0,P,P,P,P_P-P,Выходы из ситуаций были очевидными для опытного школьного психолога.,Выходы из ситуаций были,очевидными для опытного школьного психолога.,Выходы из ситуаций были [MASK],Выходы из ситуаций были [MASK] для опытного школьного психолога.,очевидными,False,3.774887800216675,6.088702201843262
299,4.0,38.0,2.0,S,S,S,S_S-S,Выход из ситуации  был очевидным для опытного школьного психолога.,Выход из ситуации был,очевидным для опытного школьного психолога.,Выход из ситуации был [MASK],Выход из ситуации был [MASK] для опытного школьного психолога.,очевидным,True,6.800168514251709,6.792585849761963
300,5.0,38.0,2.0,S,S,P,P_S-S,Выход из ситуации  были очевидными для опытного школьного психолога.,Выход из ситуации были,очевидными для опытного школьного психолога.,Выход из ситуации были [MASK],Выход из ситуации были [MASK] для опытного школьного психолога.,очевидными,False,5.892347812652588,7.522378444671631
301,6.0,38.0,2.0,S,P,S,S_S-P,Выход из ситуаций был очевидным для опытного школьного психолога.,Выход из ситуаций был,очевидным для опытного школьного психолога.,Выход из ситуаций был [MASK],Выход из ситуаций был [MASK] для опытного школьного психолога.,очевидным,False,6.265700340270996,6.666048049926758
302,7.0,38.0,2.0,S,P,P,P_S-P,Выход из ситуаций были очевидными для опытного школьного психолога.,Выход из ситуаций были,очевидными для опытного школьного психолога.,Выход из ситуаций были [MASK],Выход из ситуаций были [MASK] для опытного школьного психолога.,очевидными,False,5.069242000579834,6.911919593811035
303,8.0,38.0,2.0,P,S,S,S_P-S,Выходы из ситуации был очевидным для опытного школьного психолога.,Выходы из ситуации был,очевидным для опытного школьного психолога.,Выходы из ситуации был [MASK],Выходы из ситуации был [MASK] для опытного школьного психолога.,очевидным,False,3.6976048946380615,6.710559844970703
304,1.0,39.0,2.0,P,P,S,S_P-P,Доски для афиш была прибита к ограде маленького театра.,Доски для афиш была,прибита к ограде маленького театра.,Доски для афиш была [MASK],Доски для афиш была [MASK] к ограде маленького театра.,прибита,True,1.7612398862838745,0.8561151623725891
305,2.0,39.0,2.0,P,P,P,P_P-P,Доски для афиш были прибиты к ограде маленького театра.,Доски для афиш были,прибиты к ограде маленького театра.,Доски для афиш были [MASK],Доски для афиш были [MASK] к ограде маленького театра.,прибиты,False,0.3123336136341095,2.1748266220092773
306,3.0,39.0,2.0,S,S,S,S_S-S,Доска для афиши была прибита к ограде маленького театра.,Доска для афиши была,прибита к ограде маленького театра.,Доска для афиши была [MASK],Доска для афиши была [MASK] к ограде маленького театра.,прибита,True,2.3076984882354736,1.4860577583312988
307,4.0,39.0,2.0,S,S,P,P_S-S,Доска для афиши были прибиты к ограде маленького театра.,Доска для афиши были,прибиты к ограде маленького театра.,Доска для афиши были [MASK],Доска для афиши были [MASK] к ограде маленького театра.,прибиты,False,1.3815561532974243,3.035959243774414
308,5.0,39.0,2.0,S,P,S,S_S-P,Доска для афиш была прибита к ограде маленького театра.,Доска для афиш была,прибита к ограде маленького театра.,Доска для афиш была [MASK],Доска для афиш была [MASK] к ограде маленького театра.,прибита,True,2.068770170211792,1.266249656677246
309,6.0,39.0,2.0,S,P,P,P_S-P,Доска для афиш были прибиты к ограде маленького театра.,Доска для афиш были,прибиты к ограде маленького театра.,Доска для афиш были [MASK],Доска для афиш были [MASK] к ограде маленького театра.,прибиты,False,1.3498594760894775,2.9238085746765137
310,7.0,39.0,2.0,P,S,S,S_P-S,Доски для афиши была прибита к ограде маленького театра.,Доски для афиши была,прибита к ограде маленького театра.,Доски для афиши была [MASK],Доски для афиши была [MASK] к ограде маленького театра.,прибита,True,2.174786329269409,1.1823441982269287
311,8.0,39.0,2.0,P,S,P,P_P-S,Доски для афиши были прибиты к ограде маленького театра.,Доски для афиши были,прибиты к ограде маленького театра.,Доски для афиши были [MASK],Доски для афиши были [MASK] к ограде маленького театра.,прибиты,False,0.5743950605392456,2.491825580596924
312,1.0,40.0,2.0,P,P,P,P_P-P,Задержки из-за наводнений были пугающими из-за отсутствия достоверной информации.,Задержки из-за наводнений были,пугающими из-за отсутствия достоверной информации.,Задержки из-за наводнений были [MASK],Задержки из-за наводнений были [MASK] из-за отсутствия достоверной информации.,пугающими,False,-1.4507423639297485,1.3953777551651
313,2.0,40.0,2.0,S,S,S,S_S-S,Задержка из-за наводнения была пугающей из-за отсутствия достоверной информации.,Задержка из-за наводнения была,пугающей из-за отсутствия достоверной информации.,Задержка из-за наводнения была [MASK],Задержка из-за наводнения была [MASK] из-за отсутствия достоверной информации.,пугающей,False,-2.0176119804382324,-1.8708487749099731
314,3.0,40.0,2.0,S,S,P,P_S-S,Задержка из-за наводнения были пугающими из-за отсутствия достоверной информации.,Задержка из-за наводнения были,пугающими из-за отсутствия достоверной информации.,Задержка из-за наводнения были [MASK],Задержка из-за наводнения были [MASK] из-за отсутствия достоверной информации.,пугающими,False,-1.458914041519165,0.5966182947158813
315,4.0,40.0,2.0,S,P,S,S_S-P,Задержка из-за наводнений была пугающей из-за отсутствия достоверной информации.,Задержка из-за наводнений была,пугающей из-за отсутствия достоверной информации.,Задержка из-за наводнений была [MASK],Задержка из-за наводнений была [MASK] из-за отсутствия достоверной информации.,пугающей,False,-1.0952471494674683,-0.920904815196991
316,5.0,40.0,2.0,S,P,P,P_S-P,Задержка из-за наводнений были пугающими из-за отсутствия достоверной информации.,Задержка из-за наводнений были,пугающими из-за отсутствия достоверной информации.,Задержка из-за наводнений были [MASK],Задержка из-за наводнений были [MASK] из-за отсутствия достоверной информации.,пугающими,False,-0.9728675484657288,1.3994712829589844
317,6.0,40.0,2.0,P,S,S,S_P-S,Задержки из-за наводнения была пугающей из-за отсутствия достоверной информации.,Задержки из-за наводнения была,пугающей из-за отсутствия достоверной информации.,Задержки из-за наводнения была [MASK],Задержки из-за наводнения была [MASK] из-за отсутствия достоверной информации.,пугающей,False,-3.328695297241211,-2.7028298377990723
318,7.0,40.0,2.0,P,S,P,P_P-S,Задержки из-за наводнения были пугающими из-за отсутствия достоверной информации.,Задержки из-за наводнения были,пугающими из-за отсутствия достоверной информации.,Задержки из-за наводнения были [MASK],Задержки из-за наводнения были [MASK] из-за отсутствия достоверной информации.,пугающими,False,-2.22224760055542,0.27841293811798096
319,8.0,40.0,2.0,P,P,S,S_P-P,Задержки из-за наводнений была пугающей из-за отсутствия достоверной информации.,Задержки из-за наводнений была,пугающей из-за отсутствия достоверной информации.,Задержки из-за наводнений была [MASK],Задержки из-за наводнений была [MASK] из-за отсутствия достоверной информации.,пугающей,False,-2.522655963897705,-1.802415132522583
320,1.0,41.0,2.0,S,S,S,S_S-S,Зал для заседания был громадным по масштабам небольшого городка.,Зал для заседания был,громадным по масштабам небольшого городка.,Зал для заседания был [MASK],Зал для заседания был [MASK] по масштабам небольшого городка.,громадным,True,3.3930745124816895,1.4655897617340088
321,2.0,41.0,2.0,S,S,P,P_S-S,Зал для заседания были громадными по масштабам небольшого городка.,Зал для заседания были,громадными по масштабам небольшого городка.,Зал для заседания были [MASK],Зал для заседания были [MASK] по масштабам небольшого городка.,громадными,False,2.639976978302002,2.816124439239502
322,3.0,41.0,2.0,S,P,S,S_S-P,Зал для заседаний был громадным по масштабам небольшого городка.,Зал для заседаний был,громадным по масштабам небольшого городка.,Зал для заседаний был [MASK],Зал для заседаний был [MASK] по масштабам небольшого городка.,громадным,True,3.8554635047912598,1.8898983001708984
323,4.0,41.0,2.0,S,P,P,P_S-P,Зал для заседаний были громадными по масштабам небольшого городка.,Зал для заседаний были,громадными по масштабам небольшого городка.,Зал для заседаний были [MASK],Зал для заседаний были [MASK] по масштабам небольшого городка.,громадными,False,2.868023157119751,3.1988606452941895
324,5.0,41.0,2.0,P,S,S,S_P-S,Залы для заседания был громадным по масштабам небольшого городка.,Залы для заседания был,громадным по масштабам небольшого городка.,Залы для заседания был [MASK],Залы для заседания был [MASK] по масштабам небольшого городка.,громадным,True,1.6046456098556519,0.7987111210823059
325,6.0,41.0,2.0,P,S,P,P_P-S,Залы для заседания были громадными по масштабам небольшого городка.,Залы для заседания были,громадными по масштабам небольшого городка.,Залы для заседания были [MASK],Залы для заседания были [MASK] по масштабам небольшого городка.,громадными,False,1.1326568126678467,1.3436338901519775
326,7.0,41.0,2.0,P,P,S,S_P-P,Залы для заседаний был громадным по масштабам небольшого городка.,Залы для заседаний был,громадным по масштабам небольшого городка.,Залы для заседаний был [MASK],Залы для заседаний был [MASK] по масштабам небольшого городка.,громадным,True,1.7550947666168213,1.26700758934021
327,8.0,41.0,2.0,P,P,P,P_P-P,Залы для заседаний были громадными по масштабам небольшого городка.,Залы для заседаний были,громадными по масштабам небольшого городка.,Залы для заседаний были [MASK],Залы для заседаний были [MASK] по масштабам небольшого городка.,громадными,False,1.4634636640548706,1.8625568151474
328,1.0,42.0,2.0,S,S,P,P_S-S,Запчасть для иномарки были старыми по меркам современного автовладельца.,Запчасть для иномарки были,старыми по меркам современного автовладельца.,Запчасть для иномарки были [MASK],Запчасть для иномарки были [MASK] по меркам современного автовладельца.,старыми,False,-1.9151703119277954,2.5009114742279053
329,2.0,42.0,2.0,S,P,S,S_S-P,Запчасть для иномарок была старой по меркам современного автовладельца.,Запчасть для иномарок была,старой по меркам современного автовладельца.,Запчасть для иномарок была [MASK],Запчасть для иномарок была [MASK] по меркам современного автовладельца.,старой,True,3.7439496517181396,-0.5067267417907715
330,3.0,42.0,2.0,S,P,P,P_S-P,Запчасть для иномарок были старыми по меркам современного автовладельца.,Запчасть для иномарок были,старыми по меркам современного автовладельца.,Запчасть для иномарок были [MASK],Запчасть для иномарок были [MASK] по меркам современного автовладельца.,старыми,False,-1.8236112594604492,2.421290636062622
331,4.0,42.0,2.0,P,S,S,S_P-S,Запчасти для иномарки была старой по меркам современного автовладельца.,Запчасти для иномарки была,старой по меркам современного автовладельца.,Запчасти для иномарки была [MASK],Запчасти для иномарки была [MASK] по меркам современного автовладельца.,старой,True,1.8445076942443848,-0.6985301971435547
332,5.0,42.0,2.0,P,S,P,P_P-S,Запчасти для иномарки были старыми по меркам современного автовладельца.,Запчасти для иномарки были,старыми по меркам современного автовладельца.,Запчасти для иномарки были [MASK],Запчасти для иномарки были [MASK] по меркам современного автовладельца.,старыми,False,-2.191314220428467,3.9896597862243652
333,6.0,42.0,2.0,P,P,S,S_P-P,Запчасти для иномарок была старой по меркам современного автовладельца.,Запчасти для иномарок была,старой по меркам современного автовладельца.,Запчасти для иномарок была [MASK],Запчасти для иномарок была [MASK] по меркам современного автовладельца.,старой,True,1.585476040840149,-0.7461929321289062
